UNLOCODE,PORT_NAME,LAT,LON
HRZAD,Zadar,44.1167,15.2333
HTPAP,Port Au Prince,18.5400,-72.3400
IDCXP,Cilacap,-7.7000,109.0000
IDCBN,Cirebon,-6.9000,108.6000
IDKOE,Kupang,-10.2000,123.6000
IDPLM,Palembang,-2.9500,104.7500
IDSRG,Semarang,-6.9667,110.4167
IDSUB,Surabaya,-7.2500,112.7500
IDTPP,Tanjung Priok,-6.1333,106.8500
IDUPG,Ujung Pandang,-5.1333,119.4000
IEARK,Arklow,52.8,-6.15
IEDRO,Drogheda,53.7167,-6.3
IEDUB,Dublin,53.35,-6.2667
IEFOV,Foynes (Shannon Foynes Port),52.6,-9.1
IEGWY,Galway,53.2667,-9.05
IENRS,New Ross,52.3833,-6.9333
IEORK,Cork,51.8333,-8.2833
IEWAT,Waterford,52.25,-7.1167
ILAKL,Ashkelon,31.6333,34.5333
ILASH,Ashdod,31.8333,34.6333
ILETH,Eilat,29.5333,34.95
ILHAD,Hadera,32.4667,34.8833
ILHFA,Haifa,32.8167,35.0
INBOM,Bombay (Mumbai),18.9833,72.8167
INCCU,Calcutta (Kolkata),22.5333,88.3667
INCOK,Cochin,9.9667,76.25
INIXY,Kandla,23.0,70.2
INMAA,Chennai (Madras),13.1,80.2667
INNSA,Nhava Sheva (Jawaharlal Nehru),18.95,72.9667
INTUT,Tuticorin,8.75,78.1667
INVTZ,Vishakhapatnam,17.6833,83.3
IQBSR,Basra,30.55,47.7833
IQKAZ,Khor al Zubair,30.1833,47.9
IQUQR,Umm Qasr,24.9,51.5833
IRABD,Abadan,30.3333,48.3333
IRBAZ,Bandar Anzali,37.4667,49.4667
IRBKM,Imam Khomeini,30.4167,49.0667
IRBND,Bandar Abbas,27.1833,56.2833
IRBUZ,Bushehr,28.9833,50.8333
IRKHO,Khorramshahr,30.4333,48.1833
IRLVP,Lavan,26.7833,53.3333
IRMRX,Bandar Mahshahr,30.45,49.1667
IRSXI,Sirri Island,25.9,54.55
ISAKU,Akureyri,65.6833,-18.05
ISHAF,Hafnarfjordur (Straumsvik),64.0667,-21.9667
ISISA,Isafjordur,66.0833,-23.1
ISKEV,Keflavik,64.0,-22.55
ISREY,Reykjavik,64.1333,-21.9333
ISVES,Vestmannaeyjar,63.4333,-20.2667
ITAUG,Augusta,37.2167,15.2333
ITBDS,Brindisi,40.65,17.9333
ITBLN,Bagnoli,40.8,14.1667
ITBRI,Bari,41.1333,16.8667
ITGEA,Gela,37.0667,14.25
ITGOA,Genoa,44.4,8.9
ITLIV,Livorno,43.55,10.3333
ITMLZ,Milazzo,38.2167,15.2667
ITMSN,Messina,38.1833,15.5667
ITNAP,Napoli (Naples),40.8333,14.25
ITPFX,Sarroch (Porto Foxi),39.0833,9.0333
ITPMO,Palermo,38.1167,13.3333
ITPTO,Porto Torres,40.85,8.4
ITRAN,Ravenna,44.4167,12.3
ITSPE,La Spezia,44.0167,9.85
ITSVN,Savona-Vado,44.3,8.4833
ITTAR,Taranto,40.4833,17.2167
ITTRS,Trieste,45.65,13.75
ITVCE,Venice,45.4333,12.3333
JMKIN,Kingston,17.9833,-76.8333
JMMBJ,Montego Bay,18.5,-77.9333
JMPEV,Port Esquivel,17.8833,-77.1333
JMPOT,Port Antonio,18.2,-76.45
JMROP,Rocky Point,17.6333,-77.2333
JOAQJ,Aqaba (El Akaba),29.5167,35.0167
JPAMA,Amagasaki,34.7,135.4
JPAXT,Akita,39.75,140.05
JPCHB,Chiba,35.6,140.1167
JPHHE,Hachinohe,40.55,141.55
JPHHR,Higashiharima,34.7167,134.75
JPHIJ,Hiroshima,34.3333,132.4167
JPHIM,Himeji,34.7833,134.6833
JPHKD,Hakodate,41.8000,140.7333
JPKNU,Kimitsu,34.8667,136.95
JPKUH,Kushiro,42.9833,144.3670
JPKWS,Kawasaki,35.5333,139.7667
JPMIZ,Mizushima,34.5167,133.75
JPMOJ,Moji,33.95,130.9667
JPNGO,Nagoya,35.0833,136.8833
JPOSA,Osaka,34.65,135.4333
JPSAK,Sakai,34.5667,135.45
JPSKT,Sakata,39.9333,139.8
JPSMZ,Shimizu,35.0,138.5
JPTMK,Tomakomai,42.6000,141.5500
JPTYO,Tokyo,35.7167,139.7667
JPUKB,Kobe,34.6667,135.2
JPYOK,Yokohama,35.45,139.65
KELAU,Lamu,-2.2833,40.9
KEMBA,Mombasa,-4.0667,39.6667
KHPNH,Phnom Penh,11.5500,104.9167
KITRW,Betio (Tarawa),1.3333,172.9000
KMMUT,Mutsamudu,-11.4000,43.8333
KMYVA,Moroni,-11.7000,43.1500
KNBAS,Basseterre,17.3,-62.7167
KPCHO,Chongjin,41.7667,129.8167
KPHAE,Haeju,38.0,125.7
KPNAM,Nampo,38.7333,125.4167
KPWON,Wonsan,39.1667,127.4333
KRCHF,Chinhae,35.1167,128.7
KRINC,Inchon,37.4667,126.6167
KRKPO,Pohang,36.0333,129.4333
KRMAS,Masan,35.1833,128.6
KRMOK,Mokpo,34.7667,126.3833
KRPUS,Busan (Pusan),35.0833,129.0
KRTGH,Tonghae,37.5,129.15
KRUSN,Ulsan,35.45,129.3833
KRYOS,Yosu (Yeosu),34.7333,127.75
KWMEA,Mina al Ahmad,29.0667,48.1667
KWMIS,Mina Saud,28.75,48.4
KWSWK,Shuwaikh,29.35,47.9333
KYGEC,Georgetown,19.3000,-81.3833
LBBEY,Beirut,33.9,35.5
LBCHK,Chekka,34.3,35.6
LBKYE,Tripoli,34.4667,35.8167
LBSDN,Sidon,33.5,35.35
LBSEL,Selaata,34.2833,35.6667
LCSLU,Castries (St Lucia),14.0167,-61.0
LCVIF,Vieux Fort,13.7167,-60.9667
LKCMB,Colombo,6.9333,79.85
LKJAF,Jaffna,9.6667,80.0167
LKTRR,Trincomalee,8.6,81.2167
LRGRE,Greenville,4.9833,-9.05
LRMLW,Monrovia,6.3333,-10.8333
LRUCN,Buchanan,5.9,-10.0667
LTKLJ,Klaipeda,55.7167,21.1167
LURIX,Riga,56.9667,24.1
LVLPX,Liepaja,56.5,21.0
LVVNT,Ventspils,57.4,21.55
LYBEN,Bingazi (Benghazi),32.1,20.05
LYDNF,Derna,32.7667,22.65
LYLMQ,Marsa El Brega,30.4167,19.5667
LYMRA,Misurata (Qasr Ahmed),32.3667,15.2167
LYRLA,Ras Lanuf,30.5167,18.5833
LYTIP,Tripoli,32.9,13.2167
LYTOB,Tobruk,32.0667,24.0
LYZUA,Zuara,32.9167,12.1167
MAAGA,Agadir,30.4333,-9.6333
MACAS,Casablanca,33.6,-7.6167
MAELJ,El Jadida,33.2667,-8.6333
MAMOH,Mohammedia,33.75,-7.3667
MANNA,Kenitra,34.2667,-6.5833
MASFI,Safi,32.3167,-9.2
MATNG,Tangier,35.7833,-5.8
MCMON,Monaco,43.7333,7.45
MGDIE,Anisiranana (Diego Suarez),-12.2167,49.3167
MGMJN,Majunga (Mahajanga),-15.7167,46.3333
MGTLE,Tulear (Toliara),-23.35,43.6667
MGTOA,Toamasina (Tamatave),-18.1333,49.3667
MGWAR,Warri,5.5,5.7333
MMBSX,Bassein,16.75,94.7167
MMMNU,Moulmein,16.4833,97.6167
MMRGN,Yangon,16.7833,96.25
MOMFM,Macau,22.2000,113.5500
MPSPN,Saipan,15.2167,145.7333
MQFDF,Fort de France,14.6,-61.0667
MRNDB,Nouadhibou,20.8167,-17.05
MRNKC,Nouakchott,18.0333,-16.0333
MSPLY,Plymouth,16.7,-62.2167
MTMLA,Valletta,35.9,14.5167
MUPLU,Port Louis,-20.15,57.5
MXACA,Acapulco,16.85,-99.9333
MXCOA,Coatzacoalcos,18.1333,-94.4167
MXGYM,Guaymas,27.9167,-110.8833
MXLAP,La Paz,24.1667,-110.3167
MXLZC,Lazaro Cardenas,17.8833,-102.1667
MXMZT,Mazatlan,23.1833,-106.4333
MXPGO,Progresso,21.2833,-89.65
MXSCX,Salina Cruz,16.1667,-95.2
MXTAM,Tampico,22.2667,-97.7833
MXTPB,Topolobampo,25.6,-109.05
MXTUX,Tuxpan,20.95,-97.4
MXVER,Veracruz,19.2,-96.1333
MXZLO,Manzanillo,19.05,-104.3333
MYBKI,Kota Kinabalu,5.9500,116.0833
MYBTU,Bintulu,3.1667,113.0333
MYKCH,Kuching,1.5500,110.3333
MYKUA,Kuantan,3.7833,103.3333
MYKUD,Kudat,6.8000,116.8333
MYLBU,Labuan,5.3000,115.2500
MYLUM,Lumut,4.2667,100.3667
MYMYY,Miri,4.4000,113.9833
MYPDI,Port Dickson,2.5500,101.9000
MYPEN,Penang,5.4167,100.3333
MYPGU,Pasir Gudang,1.4833,103.8000
MYPKL,Port Klang,3.0333,101.4000
MYSBW,Sibu,2.3000,111.8000
MYSDK,Sandakan,6.1167,116.0833
MYTPP,Tanjung Pelepas,1.4500,103.7500
MYTWU,Tawau,4.2500,117.8000
MZBEW,Beira,-19.8333,34.8333
MZINH,Inhambane,-23.8667,35.4000
MZMNC,Nacala,-14.2000,40.7000
MZMFM,Maputo,25.9667,32.5667
MZPOL,Pemba,12.95,40.5
MZUEL,Quelimane,17.8833,36.8833
NALUD,Luderitz,26.65,15.15
NAWVB,Walvis Bay,22.95,14.5
NCNOU,Noumea,22.2667,166.45
NCTHI,Thio,21.6167,166.25
NGCBQ,Calabar,4.9667,8.3167
NGLOS,Lagos,6.45,3.4
NGONN,Onne,4.65,7.15
NGPHC,Port Harcourt,4.7667,7.0
NGSPL,Sapele,5.9167,5.75
NGTIN,Tin Can Island,6.4167,3.3
NGWAR,Warri,5.3000,5.7000
NIBEF,Bluefields,12.0167,-83.75
NICIO,Corinto,12.5,-87.1833
NIELB,El Bluff,12.0,-83.6833
NIPSN,Puerto Sandino,12.2,-86.7667
